id,call_id,timestamp,type,text,category,created_at
0122e801-871e-4b4e-826c-079e50faf08f,558474e6-46db-4763-b893-49e61d3b86f7,0:25,warning,"The customer explicitly stated they were busy and not interested, but the rep continued to push the conversation.",objection_handling,2026-01-27 07:39:52.742086+00
157d5a18-d1f0-48d9-8b7d-ae4acb24b53b,558474e6-46db-4763-b893-49e61d3b86f7,0:12,improvement,"The rep did not ask if it was a good time to talk, which led to initial resistance from the customer.",rapport_building,2026-01-27 07:39:52.742086+00
36765886-1ac8-4d9e-b9aa-202d7f8fc4d9,db08c1e9-e68a-4cea-b9c1-efe1c7ba012a,1:34,positive,"Sarah successfully scheduled a demo, ensuring engagement with the decision-maker.",closing,2026-01-27 07:40:05.40144+00
3a0903e8-2a3c-4813-9d3c-33f8ef16760f,0059c4f3-c10a-40e6-88f2-2bf05cd12731,2:35,positive,"Emma set clear expectations for the proposal and follow-up, including additional client references.",closing,2026-01-27 07:39:40.909846+00
7ce795ab-2c5c-45f3-812f-a4389aa722d2,558474e6-46db-4763-b893-49e61d3b86f7,1:06,warning,"The customer asked to be removed from the call list, indicating a breakdown in rapport.",rapport_building,2026-01-27 07:39:52.742086+00
997fc215-e5d1-4b54-9f0b-13c1f4770d21,558474e6-46db-4763-b893-49e61d3b86f7,0:53,positive,"The rep mentioned a 20% discount, showing an effort to provide value.",closing,2026-01-27 07:39:52.742086+00
9c84abbc-524f-4ffa-bd8a-11bd836b5b7f,558474e6-46db-4763-b893-49e61d3b86f7,0:39,improvement,The rep failed to uncover or acknowledge the customer's current solution and satisfaction with it.,discovery,2026-01-27 07:39:52.742086+00
a39d1a05-f740-4867-aca3-7c04eeb7dfd0,0059c4f3-c10a-40e6-88f2-2bf05cd12731,0:27,positive,Emma asked open-ended questions to understand the customer's current system and challenges.,discovery,2026-01-27 07:39:40.909846+00
a6edadad-1d2b-4771-a0e2-55b385214d1a,db08c1e9-e68a-4cea-b9c1-efe1c7ba012a,0:21,positive,Sarah effectively built rapport by congratulating Michael on his company's growth.,rapport_building,2026-01-27 07:40:05.40144+00
af613498-0ffb-4753-9700-3eb8a443612b,db08c1e9-e68a-4cea-b9c1-efe1c7ba012a,1:58,improvement,Sarah could prepare to address potential objections about implementation timelines and costs during the demo.,objection_handling,2026-01-27 07:40:05.40144+00
b5e5aead-7852-42ba-bbd6-ec02eeacbb8a,0059c4f3-c10a-40e6-88f2-2bf05cd12731,0:59,positive,"Emma identified key needs related to multi-currency and reporting features, aligning them with FinanceHub's offerings.",qualification,2026-01-27 07:39:40.909846+00
c23db377-4b23-4022-b855-4c9ae3cb6e70,0059c4f3-c10a-40e6-88f2-2bf05cd12731,2:03,warning,Emma mentioned a learning curve but could have been more proactive in addressing potential onboarding challenges.,closing,2026-01-27 07:39:40.909846+00
c6b06b3a-6790-468f-ba2b-f712f71f9f67,0059c4f3-c10a-40e6-88f2-2bf05cd12731,1:31,improvement,Emma offered the first month free in response to pricing concerns but did not explore further customization or additional value propositions.,objection_handling,2026-01-27 07:39:40.909846+00
dd4dc4fd-1e1b-406b-b865-68aaed57f4fc,db08c1e9-e68a-4cea-b9c1-efe1c7ba012a,0:45,positive,Sarah accurately assessed the company's size and tailored her pitch to the appropriate plan.,qualification,2026-01-27 07:40:05.40144+00
eaad7807-b783-49c7-84c2-36d4e78f8799,db08c1e9-e68a-4cea-b9c1-efe1c7ba012a,1:10,improvement,Sarah could have asked more detailed questions about current security measures and cost management.,discovery,2026-01-27 07:40:05.40144+00
